function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Agriculture Facilities Development Project-220110,Maintenance and Other Operating Expenses,2830.68,2830.68,0,0,2830.68
Repair and Maintenance of Irrigation System-(PEO/OPAG)-220111,Repair and Maintenance of Irrigation System-(PEO/OPAG)-220111,118570.77,118570.77,0,0,118570.77
Repair and Maintenance of Irrigation System-(PEO/OPAG)-220111,Maintenance and Other Operating Expenses,118570.77,118570.77,0,0,118570.77
Lower Magat Eco-Tourism Park Project (Inclusive of AO No. 2008-87)-220112,Lower Magat Eco-Tourism Park Project (Inclusive of AO No. 2008-87)-220112,3160.92,3160.92,0,0,3160.92
Lower Magat Eco-Tourism Park Project (Inclusive of AO No. 2008-87)-220112,Maintenance and Other Operating Expenses,3160.92,3160.92,0,0,3160.92
Panagyaman Festival 2008-(GO)-220113,Panagyaman Festival 2008-(GO)-220113,527,527,0,0,527
Panagyaman Festival 2008-(GO)-220113,Maintenance and Other Operating Expenses,527,527,0,0,527
Heavy Equipment Fuel and Spareparts-(PEO)-220114,Heavy Equipment Fuel and Spareparts-(PEO)-220114,86872.12,86872.12,0,0,86872.12
Heavy Equipment Fuel and Spareparts-(PEO)-220114,Maintenance and Other Operating Expenses,86872.12,86872.12,0,0,86872.12
Debt Servicing-(GO)-220115,Debt Servicing-(GO)-220115,1000000,0,0,1000000,0
Debt Servicing-(GO)-220115,Maintenance and Other Operating Expenses,1000000,0,0,1000000,0
Legislative Research Assessment and Oversight-(VG/SP) (Appropriation inclusive of supplement budget #3)(AO#2008-083)-220116,Legislative Research Assessment and Oversight-(VG/SP) (Appropriation inclusive of supplement budget #3)(AO#2008-083)-220116,239836.2,239836.2,0,0,239836.2
Legislative Research Assessment and Oversight-(VG/SP) (Appropriation inclusive of supplement budget #3)(AO#2008-083)-220116,Maintenance and Other Operating Expenses,168502.2,168502.2,0,0,168502.2
Legislative Research Assessment and Oversight-(VG/SP) (Appropriation inclusive of supplement budget #3)(AO#2008-083)-220116,Capital Outlay,71334,71334,0,0,71334
Development Administration-2202 Management Development Support Project-(GO/EXEC)-220201,Development Administration-2202 Management Development Support Project-(GO/EXEC)-220201,679.53,679.53,0,0,679.53
Development Administration-2202 Management Development Support Project-(GO/EXEC)-220201,Maintenance and Other Operating Expenses,679.53,679.53,0,0,679.53
5S of Good Housekeeping-(PA)-220202,5S of Good Housekeeping-(PA)-220202,17932.5,17932.5,0,0,17932.5
5S of Good Housekeeping-(PA)-220202,Maintenance and Other Operating Expenses,17932.5,17932.5,0,0,17932.5
Updating of Integrated PPFP/CDP/PDIP-(PPDO)-220204,Updating of Integrated PPFP/CDP/PDIP-(PPDO)-220204,24490,24490,0,0,24490
Updating of Integrated PPFP/CDP/PDIP-(PPDO)-220204,Maintenance and Other Operating Expenses,24490,24490,0,0,24490
Strengthen Internal Audit-(PA)-220205,Strengthen Internal Audit-(PA)-220205,50575,50575,0,0,50575
Strengthen Internal Audit-(PA)-220205,Maintenance and Other Operating Expenses,50575,50575,0,0,50575
Formulation of Internal Audit Manual-(PA)-220206,Formulation of Internal Audit Manual-(PA)-220206,74521,74521,0,0,74521
Formulation of Internal Audit Manual-(PA)-220206,Maintenance and Other Operating Expenses,74521,74521,0,0,74521
Search for Model Barangay Treasurer/Treasury-(PTO)-220207,Search for Model Barangay Treasurer/Treasury-(PTO)-220207,1494.25,1494.25,0,0,1494.25
Search for Model Barangay Treasurer/Treasury-(PTO)-220207,Maintenance and Other Operating Expenses,1494.25,1494.25,0,0,1494.25
Tax Inforamation and Education Caampaign-(PTO)-220208,Tax Inforamation and Education Caampaign-(PTO)-220208,31623,31623,0,0,31623
Tax Inforamation and Education Caampaign-(PTO)-220208,Maintenance and Other Operating Expenses,31623,31623,0,0,31623
RPT Tax Bonanza-(PTO)-220209,RPT Tax Bonanza-(PTO)-220209,7250,7250,0,0,7250
RPT Tax Bonanza-(PTO)-220209,Maintenance and Other Operating Expenses,7250,7250,0,0,7250
Application of Administrative Remedies in Collection of RPT Delinquents-(PTO)-220210,Application of Administrative Remedies in Collection of RPT Delinquents-(PTO)-220210,122001,122001,0,0,122001
Application of Administrative Remedies in Collection of RPT Delinquents-(PTO)-220210,Maintenance and Other Operating Expenses,122001,122001,0,0,122001
General Revision of RFT Assessement-(PASSO)-220211,General Revision of RFT Assessement-(PASSO)-220211,9090.94,9090.94,0,0,9090.94
General Revision of RFT Assessement-(PASSO)-220211,Maintenance and Other Operating Expenses,9090.94,9090.94,0,0,9090.94
Real Property Tax Information and Education Campaign Project (PASSO)-220212,Real Property Tax Information and Education Campaign Project (PASSO)-220212,1174.5,1174.5,0,0,1174.5
Real Property Tax Information and Education Campaign Project (PASSO)-220212,Maintenance and Other Operating Expenses,1174.5,1174.5,0,0,1174.5
Tax Mapping of Ambaguio-(PASSO)-220213,Tax Mapping of Ambaguio-(PASSO)-220213,9780,9780,0,0,9780
Tax Mapping of Ambaguio-(PASSO)-220213,Maintenance and Other Operating Expenses,9780,9780,0,0,9780
Capitol Gropund Improvement-(PGSO/SP)-22-214,Capitol Gropund Improvement-(PGSO/SP)-22-214,10.53,10.53,0,0,10.53
Capitol Gropund Improvement-(PGSO/SP)-22-214,Maintenance and Other Operating Expenses,10.53,10.53,0,0,10.53
Service/Delivery of Subpeona-(NBI)-220216,Service/Delivery of Subpeona-(NBI)-220216,120000,120000,0,0,120000
Service/Delivery of Subpeona-(NBI)-220216,Maintenance and Other Operating Expenses,120000,120000,0,0,120000
Social Development Committee-2203 Provincial Scholarship (Degree and Non Degree Courses)-(SP/TESDA)-220302,Social Development Committee-2203 Provincial Scholarship (Degree and Non Degree Courses)-(SP/TESDA)-220302,243900,243900,0,0,243900
Social Development Committee-2203 Provincial Scholarship (Degree and Non Degree Courses)-(SP/TESDA)-220302,Maintenance and Other Operating Expenses,243900,243900,0,0,243900
Skills Olympians Support Project-(GO/TESDA)-220307,Skills Olympians Support Project-(GO/TESDA)-220307,15900,15900,0,0,15900
Skills Olympians Support Project-(GO/TESDA)-220307,Maintenance and Other Operating Expenses,15900,15900,0,0,15900
Skills Olympians Support Project-(GO/TESDA)-220307,Skills Olympians Support Project-(GO/TESDA)-220307,319,319,0,0,319
Skills Olympians Support Project-(GO/TESDA)-220307,Maintenance and Other Operating Expenses,319,319,0,0,319
Nalubbunan BLGU Spring Development Construction-(Nalubbunan BLGU)-220311,Nalubbunan BLGU Spring Development Construction-(Nalubbunan BLGU)-220311,7039,7039,0,0,7039
Nalubbunan BLGU Spring Development Construction-(Nalubbunan BLGU)-220311,Maintenance and Other Operating Expenses,7039,7039,0,0,7039
Construction of Water System ProvinceWIDE-(PEO)-220312,Construction of Water System ProvinceWIDE-(PEO)-220312,4923.33,4923.33,0,0,4923.33
Construction of Water System ProvinceWIDE-(PEO)-220312,Maintenance and Other Operating Expenses,4923.33,4923.33,0,0,4923.33
Water System Barangay Mabuslo Purok II and III-(PEO)-220313,Water System Barangay Mabuslo Purok II and III-(PEO)-220313,3141.75,3141.75,0,0,3141.75
Water System Barangay Mabuslo Purok II and III-(PEO)-220313,Maintenance and Other Operating Expenses,3141.75,3141.75,0,0,3141.75
Construction of Reservior-(PEO)-220314,Construction of Reservior-(PEO)-220314,135000,0,0,135000,0
Construction of Reservior-(PEO)-220314,Maintenance and Other Operating Expenses,135000,0,0,135000,0
Hospital Facilities Development Project-220315,Hospital Facilities Development Project-220315,2460,2460,0,0,2460
Hospital Facilities Development Project-220315,Capital Outlay,2460,2460,0,0,2460
Pabasa sa Nutrition Project-(GO/Nutrition)-220316,Pabasa sa Nutrition Project-(GO/Nutrition)-220316,2614.2,2614.2,0,0,2614.2
Pabasa sa Nutrition Project-(GO/Nutrition)-220316,Maintenance and Other Operating Expenses,2614.2,2614.2,0,0,2614.2
Garntisadong Pambata Project-(GO/Nutrition/PHO)-220317,Garntisadong Pambata Project-(GO/Nutrition/PHO)-220317,1756,1756,0,0,1756
Garntisadong Pambata Project-(GO/Nutrition/PHO)-220317,Maintenance and Other Operating Expenses,1756,1756,0,0,1756
Livelihood Assistance Project-(OPA/DAR/DA/DOLE)-220318,Livelihood Assistance Project-(OPA/DAR/DA/DOLE)-220318,18700,18700,0,0,18700
Livelihood Assistance Project-(OPA/DAR/DA/DOLE)-220318,Maintenance and Other Operating Expenses,18700,18700,0,0,18700
Meeting with MSWDOS/RRSC-(MSWDO/GO/NGOS)-220321,Meeting with MSWDOS/RRSC-(MSWDO/GO/NGOS)-220321,4525,4525,0,0,4525
Meeting with MSWDOS/RRSC-(MSWDO/GO/NGOS)-220321,Maintenance and Other Operating Expenses,4525,4525,0,0,4525
Food for Work-(PSWDO/MSWDO)-220322,Food for Work-(PSWDO/MSWDO)-220322,405,405,0,0,405
Food for Work-(PSWDO/MSWDO)-220322,Maintenance and Other Operating Expenses,405,405,0,0,405
Replenishment of Stockpile-(PSWDO)-220323,Replenishment of Stockpile-(PSWDO)-220323,536.24,536.24,0,0,536.24
Replenishment of Stockpile-(PSWDO)-220323,Maintenance and Other Operating Expenses,536.24,536.24,0,0,536.24
Gender and Development Program-(PSWDO)-220324,Gender and Development Program-(PSWDO)-220324,1282.18,1282.18,0,0,1282.18
Gender and Development Program-(PSWDO)-220324,Maintenance and Other Operating Expenses,1282.18,1282.18,0,0,1282.18
Family Week Celebration Support Project-(PSWDO)-220325,Family Week Celebration Support Project-(PSWDO)-220325,17.5,17.5,0,0,17.5
Family Week Celebration Support Project-(PSWDO)-220325,Maintenance and Other Operating Expenses,17.5,17.5,0,0,17.5
Skills Training and Livelihood Assistance-(PSWDO)-220326,Skills Training and Livelihood Assistance-(PSWDO)-220326,36129.75,36129.75,0,0,36129.75
Skills Training and Livelihood Assistance-(PSWDO)-220326,Maintenance and Other Operating Expenses,36129.75,36129.75,0,0,36129.75
Construction of Half-way Home with Victim-Friendly Interview Room for Sexually Abused and Domestic Violence Survivors inRelation to Ra 8505-(PSWDO)-220328,Construction of Half-way Home with Victim-Friendly Interview Room for Sexually Abused and Domestic Violence Survivors inRelation to Ra 8505-(PSWDO)-220328,102394.49,102394.49,0,0,102394.49
Construction of Half-way Home with Victim-Friendly Interview Room for Sexually Abused and Domestic Violence Survivors inRelation to Ra 8505-(PSWDO)-220328,Capital Outlay,102394.49,102394.49,0,0,102394.49
Construction of DCC comfort room at upper Batu-(PSWDO/PEO)-220332,Construction of DCC comfort room at upper Batu-(PSWDO/PEO)-220332,50000,0,0,50000,0
Construction of DCC comfort room at upper Batu-(PSWDO/PEO)-220332,Capital Outlay,50000,0,0,50000,0
Youth Empowerment-(PSWDO)-220333,Youth Empowerment-(PSWDO)-220333,47039,47039,0,0,47039
Youth Empowerment-(PSWDO)-220333,Maintenance and Other Operating Expenses,47039,47039,0,0,47039
PWD Welfare and Development Program-(PFPWD/PSWDO/GO)-220336,PWD Welfare and Development Program-(PFPWD/PSWDO/GO)-220336,30,30,0,0,30
PWD Welfare and Development Program-(PFPWD/PSWDO/GO)-220336,Maintenance and Other Operating Expenses,30,30,0,0,30
Elderlies Welfare and Development Program-(Elderly/PSWDO/GO)-220337,Elderlies Welfare and Development Program-(Elderly/PSWDO/GO)-220337,9.16,9.16,0,0,9.16
Elderlies Welfare and Development Program-(Elderly/PSWDO/GO)-220337,Maintenance and Other Operating Expenses,9.16,9.16,0,0,9.16
"Economic Development Comitte-2204 Agriculture-220401, IPM-Kalikasan Palayamanan-22040101","Economic Development Comitte-2204 Agriculture-220401, IPM-Kalikasan Palayamanan-22040101",8614,8614,0,0,8614
"Economic Development Comitte-2204 Agriculture-220401, IPM-Kalikasan Palayamanan-22040101",Maintenance and Other Operating Expenses,8614,8614,0,0,8614
Fruit Tree Development (Mango and Citrus)-22040102,Fruit Tree Development (Mango and Citrus)-22040102,6985.03,6985.03,0,0,6985.03
Fruit Tree Development (Mango and Citrus)-22040102,Maintenance and Other Operating Expenses,6985.03,6985.03,0,0,6985.03
Coconut Seedlings-22040103,Coconut Seedlings-22040103,27575.82,27575.82,0,0,27575.82
Coconut Seedlings-22040103,Maintenance and Other Operating Expenses,27575.82,27575.82,0,0,27575.82
Exotic Fruit Tree and Vegetable Seedlings (Appropriation inclusive of PDC RES # 5S 2008)-22040104,Exotic Fruit Tree and Vegetable Seedlings (Appropriation inclusive of PDC RES # 5S 2008)-22040104,87617.45,87617.45,0,0,87617.45
Exotic Fruit Tree and Vegetable Seedlings (Appropriation inclusive of PDC RES # 5S 2008)-22040104,Maintenance and Other Operating Expenses,87617.45,87617.45,0,0,87617.45
Vegetable Development (Organic Vegetable) (Appropriation inclusive of Supplemental Budget #3)(AO#2008-083)-220401105,Vegetable Development (Organic Vegetable) (Appropriation inclusive of Supplemental Budget #3)(AO#2008-083)-220401105,318667.3,318667.3,0,0,318667.3
Vegetable Development (Organic Vegetable) (Appropriation inclusive of Supplemental Budget #3)(AO#2008-083)-220401105,Maintenance and Other Operating Expenses,318667.3,318667.3,0,0,318667.3
Production of High Quality Seeds for Rice and Corn Farmers in Nueva Vizcaya-22040107,Production of High Quality Seeds for Rice and Corn Farmers in Nueva Vizcaya-22040107,48651.82,48651.82,0,0,48651.82
Production of High Quality Seeds for Rice and Corn Farmers in Nueva Vizcaya-22040107,Maintenance and Other Operating Expenses,48651.82,48651.82,0,0,48651.82
Crop Protection Project-22040108,Crop Protection Project-22040108,33884.6,33884.6,0,0,33884.6
Crop Protection Project-22040108,Maintenance and Other Operating Expenses,33884.6,33884.6,0,0,33884.6
Trtaining on Vegetable Pest Management-22040109,Trtaining on Vegetable Pest Management-22040109,10705.6,10705.6,0,0,10705.6
Trtaining on Vegetable Pest Management-22040109,Maintenance and Other Operating Expenses,10705.6,10705.6,0,0,10705.6
Farm Research (need based research on farming system)-22040110,Farm Research (need based research on farming system)-22040110,2266.41,2266.41,0,0,2266.41
Farm Research (need based research on farming system)-22040110,Maintenance and Other Operating Expenses,2266.41,2266.41,0,0,2266.41
"Fingerling Production at Polloc, Fresh Water Fish Farm-22040111","Fingerling Production at Polloc, Fresh Water Fish Farm-22040111",18785.97,18785.97,0,0,18785.97
"Fingerling Production at Polloc, Fresh Water Fish Farm-22040111",Maintenance and Other Operating Expenses,18785.97,18785.97,0,0,18785.97
Agri Project in Support to Lower Magat-22040112,Agri Project in Support to Lower Magat-22040112,647.6,647.6,0,0,647.6
Agri Project in Support to Lower Magat-22040112,Maintenance and Other Operating Expenses,647.6,647.6,0,0,647.6
Farm Mechanization-22040113,Farm Mechanization-22040113,50000,50000,0,0,50000
Farm Mechanization-22040113,Maintenance and Other Operating Expenses,50000,50000,0,0,50000
Post Harves (Aflatoxin Detection Kit)-22040114,Post Harves (Aflatoxin Detection Kit)-22040114,47180.07,47180.07,0,0,47180.07
Post Harves (Aflatoxin Detection Kit)-22040114,Maintenance and Other Operating Expenses,47180.07,47180.07,0,0,47180.07
Operation and Maintenance of NVFITSC-22040115,Operation and Maintenance of NVFITSC-22040115,273.47,273.47,0,0,273.47
Operation and Maintenance of NVFITSC-22040115,Maintenance and Other Operating Expenses,273.47,273.47,0,0,273.47
Product Promotion (Food Processing)-22040116,Product Promotion (Food Processing)-22040116,637.41,637.41,0,0,637.41
Product Promotion (Food Processing)-22040116,Maintenance and Other Operating Expenses,637.41,637.41,0,0,637.41
Operation of Quarantine Post-22040117,Operation of Quarantine Post-22040117,44323.4,44323.4,0,0,44323.4
Operation of Quarantine Post-22040117,Maintenance and Other Operating Expenses,44323.4,44323.4,0,0,44323.4
Farm to Market Road-Municipal of Kasibu (1 Equipment)-22040119,Farm to Market Road-Municipal of Kasibu (1 Equipment)-22040119,535000,535000,0,0,535000
Farm to Market Road-Municipal of Kasibu (1 Equipment)-22040119,Maintenance and Other Operating Expenses,535000,535000,0,0,535000
Improvement of Tiblac-Dulli Farm to Market Road Ambaguio-22040120,Improvement of Tiblac-Dulli Farm to Market Road Ambaguio-22040120,5587.54,5587.54,0,0,5587.54
Improvement of Tiblac-Dulli Farm to Market Road Ambaguio-22040120,Maintenance and Other Operating Expenses,5587.54,5587.54,0,0,5587.54
Improvement/Rehabilitation of Purok Keon Road-22040121,Improvement/Rehabilitation of Purok Keon Road-22040121,1780,1780,0,0,1780
Improvement/Rehabilitation of Purok Keon Road-22040121,Maintenance and Other Operating Expenses,1780,1780,0,0,1780
Fishery Extension Project: Establishment of Pangasius Hatchery (Supplemental Budget #3)(AO#2008-083)-2204123,Fishery Extension Project: Establishment of Pangasius Hatchery (Supplemental Budget #3)(AO#2008-083)-2204123,152000,152000,0,0,152000
Fishery Extension Project: Establishment of Pangasius Hatchery (Supplemental Budget #3)(AO#2008-083)-2204123,Maintenance and Other Operating Expenses,102996,102996,0,0,102996
Fishery Extension Project: Establishment of Pangasius Hatchery (Supplemental Budget #3)(AO#2008-083)-2204123,Capital Outlay,49004,49004,0,0,49004
Post Harves (Flat Bed Dryer) (Supplemental Budget #3)(AO#2008-083-22040124,Post Harves (Flat Bed Dryer) (Supplemental Budget #3)(AO#2008-083-22040124,36820,36820,0,0,36820
