program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
Office of the City Planning and Development Coordinator- Personal Services,Clothing Allowance,715,40000,40000,-,36000,4000
Office of the City Planning and Development Coordinator- Personal Services,Cash Gift,724,50000,50000,-,50000,-
Office of the City Planning and Development Coordinator- Personal Services,Year- End Bonus,725,266458,266458,-,266152,306
Office of the City Planning and Development Coordinator- Personal Services,Life and Retirement Insurance Contributions,731,379360.84,379360.84,-,376968.24,2392.6
Office of the City Planning and Development Coordinator- Personal Services,PAG-IBIG Contributions,732,11800,11800,-,11700,100
Office of the City Planning and Development Coordinator- Personal Services,PHILHEALTH Contributions,733,34500.5,34500.5,-,34312.5,188
Office of the City Planning and Development Coordinator- Personal Services,ECC Contributions,734,11800,11800,-,11700,100
Office of the City Planning and Development Coordinator- Maintenance and Other Operating Expenses,-,-,1000,1000,-,-,1000
Office of the City Planning and Development Coordinator- Maintenance and Other Operating Expenses,Postage and Deliveries,772,1000,1000,-,-,1000
Ofiice of the City Civil Registrar,-,1051,4021245.38,4021245.38,-,3852221.44,169023.94
Ofiice of the City Civil Registrar- Personal Services,-,-,3916245.38,3916245.38,-,3844993.44,71251.94
Ofiice of the City Civil Registrar- Personal Services,Salaries and Wages-Regular,701,2542347,2542347,-,2496016,46331
Ofiice of the City Civil Registrar- Personal Services,Salaries and Wages-Casual,705,508906.44,508906.44,-,503546.52,5359.92
Ofiice of the City Civil Registrar- Personal Services,PERA,711,172000,172000,-,168000,4000
Ofiice of the City Civil Registrar- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Ofiice of the City Civil Registrar- Personal Services,Clothing Allowance,715,36000,36000,-,28000,8000
Ofiice of the City Civil Registrar- Personal Services,Cash Gift,724,35000,35000,-,35000,-
Ofiice of the City Civil Registrar- Personal Services,Year- End Bonus,725,207747,207747,-,207479,268
Ofiice of the City Civil Registrar- Personal Services,Life and Retirement Insurance Contributions,731,305082.44,305082.44,-,298801.92,6280.52
Ofiice of the City Civil Registrar- Personal Services,PAG-IBIG Contributions,732,8600,8600,-,8400,200
Ofiice of the City Civil Registrar- Personal Services,PHILHEALTH Contributions,733,25962.5,25962.5,-,25350,612.5
Ofiice of the City Civil Registrar- Personal Services,ECC Contributions,734,8600,8600,-,8400,200
Ofiice of the City Civil Registrar- Maintenance and Other Operating Expenses,-,-,105000,105000,-,7228,97772
Ofiice of the City Civil Registrar- Maintenance and Other Operating Expenses,Printed Forms,755,100000,100000,-,2235,97765
Ofiice of the City Civil Registrar- Maintenance and Other Operating Expenses,Postage and Deliveries,771,5000,5000,-,4993,7
Office of the City General Services,-,1061,8627282.87,8627282.87,-,7792503.29,834779.58
Office of the City General Services- Personal Services,-,-,4660582.62,4660582.62,-,4347927.82,312654.8
Office of the City General Services- Personal Services,Salaries and Wages-Regular,701,2820336,2820336,-,2559406.21,260929.79
Office of the City General Services- Personal Services,Salaries and Wages-Casual,705,847869.48,847869.48,-,845636.28,2233.2
Office of the City General Services- Personal Services,PERA,711,218000,218000,-,206000,12000
Office of the City General Services- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Office of the City General Services- Personal Services,Clothing Allowance,715,40000,40000,-,36000,4000
Office of the City General Services- Personal Services,Cash Gift,724,45000,45000,-,45000,-
Office of the City General Services- Personal Services,Year- End Bonus,725,233699,233699,-,233699,-
Office of the City General Services- Personal Services,Life and Retirement Insurance Contributions,731,338440.64,338440.64,-,307646.64,30794
Office of the City General Services- Personal Services,PAG-IBIG Contributions,732,10900,10900,-,10675,225
Office of the City General Services- Personal Services,PHILHEALTH Contributions,733,29437.5,29437.5,-,27475,1962.5
Office of the City General Services- Personal Services,ECC Contributions,734,10900,10900,-,10389.69,510.31
Office of the City General Services- Maintenance and Other Operating Expenses,-,-,3966700.25,3966700.25,-,3444575.47,522124.78
Office of the City General Services- Maintenance and Other Operating Expenses,Telephone Expenses Landline,772,17000,17000,-,16614.64,385.36
Office of the City General Services- Maintenance and Other Operating Expenses,Internet Expenses,774,18000,18000,-,16409.8,1590.2
Office of the City General Services- Maintenance and Other Operating Expenses,Fidelity Bond Premium,892,22500,22500,-,22500,-
Office of the City General Services- Maintenance and Other Operating Expenses,Insurance Expense (Gov't. Vehicles),893,2329200.25,2329200.25,-,2266525.02,62675.23
Office of the City General Services- Maintenance and Other Operating Expenses,Insurance Expense (Gov't. Bldgs.),893,500000,500000,-,233472,266528
Office of the City General Services- Maintenance and Other Operating Expenses,Registration of Gov't. Vehicles,969,800000,800000,-,698495.01,101504.99
Office of the City General Services- Maintenance and Other Operating Expenses,Registration of Firearms,969,200000,200000,-,139202,60798
Office of the City General Services- Maintenance and Other Operating Expenses,Registration-Communication Equipment,969,80000,80000,-,51357,28643
Office of the City Budget Officer,-,1071,6340409.08,6340409.08,-,6093071.08,247338
Office of the City Budget Officer- Personal Services,-,-,6060409.08,6060409.08,-,5979817.33,80591.75
Office of the City Budget Officer- Personal Services,Salaries and Wages-Regular,701,3919173,3919173,-,3862434.24,56738.76
Office of the City Budget Officer- Personal Services,Salaries and Wages-Casual,705,678541.92,678541.92,-,671395.36,7146.56
Office of the City Budget Officer- Personal Services,PERA,711,308000,308000,-,306000,2000
Office of the City Budget Officer- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Office of the City Budget Officer- Personal Services,Clothing Allowance,715,52000,52000,-,48000,4000
Office of the City Budget Officer- Personal Services,Overtime and Night Pay,723,100000,100000,-,99800.67,199.33
Office of the City Budget Officer- Personal Services,Cash Gift,724,65000,65000,-,65000,-
Office of the City Budget Officer- Personal Services,Year- End Bonus,725,326905,326905,-,324951,1954
Office of the City Budget Officer- Personal Services,Life and Retirement Insurance Contributions,731,470301.16,470301.16,-,462436.06,7865.1
Office of the City Budget Officer- Personal Services,PAG-IBIG Contributions,732,15400,15400,-,15300,100
Office of the City Budget Officer- Personal Services,PHILHEALTH Contributions,733,43688,43688,-,43200,488
Office of the City Budget Officer- Personal Services,ECC Contributions,734,15400,15400,-,15300,100
Office of the City Budget Officer- Maintenance and Other Operating Expenses,-,-,280000,280000,-,113253.75,166746.25
Office of the City Budget Officer- Maintenance and Other Operating Expenses,Membership Dues and Cont. to Org.,778,15000,15000,-,13000,2000
Office of the City Budget Officer- Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,250000,250000,-,95000,155000
Office of the City Budget Officer- Maintenance and Other Operating Expenses,Fidelity Bond Premium,892,15000,15000,-,5253.75,9746.25
Office of the City Accountant,-,1081,7719255.88,7719255.88,-,7645171.08,74084.8
Office of the City Accountant- Personal Services,-,-,7631905.88,7631905.88,-,7576651.08,55254.8
Office of the City Accountant- Personal Services,Salaries and Wages-Regular,701,5009691,5009691,-,4979965.91,29725.09
Office of the City Accountant- Personal Services,Salaries and Wages-Casual,705,682287,682287,-,678272.76,4014.24
Office of the City Accountant- Personal Services,PERA,711,460000,460000,-,455727.27,4272.73
Office of the City Accountant- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Office of the City Accountant- Personal Services,Clothing Allowance,715,72000,72000,-,64000,8000
Office of the City Accountant- Personal Services,Overtime and Night Pay,723,100000,100000,-,100000,-
Office of the City Accountant- Personal Services,Cash Gift,724,100000,100000,-,100000,-
Office of the City Accountant- Personal Services,Year- End Bonus,725,438276,438276,-,436465,1811
Office of the City Accountant- Personal Services,Life and Retirement Insurance Contributions,731,601163.88,601163.88,-,594757.64,6406.24
Office of the City Accountant- Personal Services,PAG-IBIG Contributions,732,23000,23000,-,22800,200
Office of the City Accountant- Personal Services,PHILHEALTH Contributions,733,56488,56488,-,55862.5,625.5
Office of the City Accountant- Personal Services,ECC Contributions,734,23000,23000,-,22800,200
Office of the City Accountant- Maintenance and Other Operating Expenses,-,-,70400,70400,-,51570,18830
Office of the City Accountant- Maintenance and Other Operating Expenses,Membership Dues and Cont. to Org.,778,10400,10400,-,10400,-
Office of the City Accountant- Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,60000,60000,-,41170,18830
Office of the City Accountant- Capital Outlay,-,-,16950,16950,-,16950,-
Office of the City Accountant- Capital Outlay,Office Equipment - Fax Machine,221,16950,16950,-,16950,-
Office of the City Treasurer,-,1091,14023131.22,14023131.22,-,11983572.17,2039559.05
Office of the City Treasurer- Personal Services,-,-,10201131.22,10201131.22,-,8984114.67,1217016.55
Office of the City Treasurer- Personal Services,Salaries and Wages-Regular,701,6538105,6538105,-,5718951.81,819153.19
Office of the City Treasurer- Personal Services,Salaries and Wages-Casual,705,1187448.36,1187448.36,-,1174596.88,12851.48
Office of the City Treasurer- Personal Services,PERA,711,518000,518000,-,449000,69000
Office of the City Treasurer- Personal Services,Representation Allowance,713,114000,114000,-,66000,48000
Office of the City Treasurer- Personal Services,Transportation Allowance,714,48000,48000,-,-,48000
Office of the City Treasurer- Personal Services,Clothing Allowance,715,104000,104000,-,76000,28000
Office of the City Treasurer- Personal Services,Overtime and Night Pay,723,140000,140000,-,134293.03,5706.97
Office of the City Treasurer- Personal Services,Cash Gift,724,107500,107500,-,96125,11375
Office of the City Treasurer- Personal Services,Year- End Bonus,725,534029,534029,-,483025.9,51003.1
Office of the City Treasurer- Personal Services,Life and Retirement Insurance Contributions,731,784573.36,784573.36,-,678506.3,106067.06
Office of the City Treasurer- Personal Services,PAG-IBIG Contributions,732,26100,26100,-,22500,3600
Office of the City Treasurer- Personal Services,PHILHEALTH Contributions,733,73275.5,73275.5,-,62587.5,10688
Office of the City Treasurer- Personal Services,ECC Contributions,734,26100,26100,-,22528.25,3571.75
Office of the City Treasurer- Maintenance and Other Operating Expenses,-,-,3700000,3700000,-,2957347.5,742652.5
Office of the City Treasurer- Maintenance and Other Operating Expenses,Office Supplies Expenses-Item for sale,755,800000,800000,-,788150,11850
Office of the City Treasurer- Maintenance and Other Operating Expenses,Accountable Forms,756,2500000,2500000,-,1878375,621625
Office of the City Treasurer- Maintenance and Other Operating Expenses,Postage and Deliveries,771,10000,10000,-,8120,1880
Office of the City Treasurer- Maintenance and Other Operating Expenses,Memb. Dues and Cont. to Org.,778,20000,20000,-,9350,10650
Office of the City Treasurer- Maintenance and Other Operating Expenses,Advertising Expenses,780,150000,150000,-,150000,-
Office of the City Treasurer- Maintenance and Other Operating Expenses,Transportation and Delivery Expenses,784,20000,20000,-,12540,7460
Office of the City Treasurer- Maintenance and Other Operating Expenses,Fidelity Bond Premiums,892,200000,200000,-,110812.5,89187.5
Office of the City Treasurer- Capital Outlay,-,-,122000,122000,-,42110,79890
Office of the City Treasurer- Capital Outlay,Office Equipment - Calculator (Heavy Duty),221,50000,50000,-,6450,43550
Office of the City Treasurer- Capital Outlay,IT Equipment and Software - Printer,223,72000,72000,-,35660,36340
Office of the City Assessor,-,1101,5901352.4,5901352.4,-,5805193.83,96158.57
Office of the City Assessor- Personal Services,-,-,5880352.4,5880352.4,-,5805193.83,75158.57
Office of the City Assessor- Personal Services,Salaries and Wages-Regular,701,3699660,3699660,-,3691185.82,8474.18
Office of the City Assessor- Personal Services,Salaries and Wages-Casual,705,847877.4,847877.4,-,838944.2,8933.2
Office of the City Assessor- Personal Services,PERA,711,288000,288000,-,281727.27,6272.73
Office of the City Assessor- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Office of the City Assessor- Personal Services,Clothing Allowance,715,48000,48000,-,48000,-
Office of the City Assessor- Personal Services,Overtime and Night Pay,723,50000,50000,-,-,50000
Office of the City Assessor- Personal Services,Cash Gift,724,60000,60000,-,60000,-
Office of the City Assessor- Personal Services,Year- End Bonus,725,308305,308305,-,307748,557
Office of the City Assessor- Personal Services,Life and Retirement Insurance Contributions,731,443960,443960,-,443188.54,771.46
Office of the City Assessor- Personal Services,PAG-IBIG Contributions,732,14400,14400,-,14400,-
Office of the City Assessor- Personal Services,PHILHEALTH Contributions,733,39750,39750,-,39600,150
Office of the City Assessor- Personal Services,ECC Contributions,734,14400,14400,-,14400,-
Office of the City Assessor-Maintenance and Other Operating Expenses,-,-,21000,21000,-,-,21000
Office of the City Assessor-Maintenance and Other Operating Expenses,Postage and Deliveries,771,5000,5000,-,-,5000
Office of the City Assessor-Maintenance and Other Operating Expenses,Membership Dues and Cont to Org.,778,6000,6000,-,-,6000
Office of the City Assessor-Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,10000,10000,-,-,10000
