Project Title,Development Partner,Implementing/ Executing Agency,Grant Amount   (in US$ M),"Utilization
(in US$ M)",Project Start Date,Project Closing Date,Utilization Rate (UR),Time Elapsed (TE),TE-UR (%),Sector,Location,Type,"Financial 
Status","Physical
Status",Last Update,As of Date
Water Security Under Climate Risks: A Philippine Climate Change Adaptation Strategy for the Agriculture Sector,USAid,Department of Environment and Natural Resources,1.5,0.376,9/6/2012,9/5/2017,25.07,36.27,11.21,"Agriculture, Agrarian Reform and Natural Resources",Camarines Sur and Albay,"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Biodiversity and Watersheds Improved for Stronger Economy and Ecosystem Resilience Project (B-WISER),USAid,Department of Environment and Natural Resources,7.815,5.555,12/7/2012,12/6/2017,71.08,31.23,-39.85,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Building Climate Resilience in Water-Stressed Communities,USAid,Department of Environment and Natural Resources,0.75,0.48,8/2/2012,1/31/2016,64,54.58,-9.42,"Agriculture, Agrarian Reform and Natural Resources",ARMM (20 brgys) and Leyte,"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Abuan Integrated Watershed Program,USAid,Department of Environment and Natural Resources,1.34,0.288,10/1/2012,9/30/2017,21.49,34.9,13.41,"Agriculture, Agrarian Reform and Natural Resources","Ilagan, Isabela","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Strengthening the Resiliency of Local Government Units and Local Communities to Adopt to the Impact of Climate Change,USAid,Department of Environment and Natural Resources,1.474,0.579,11/1/2012,10/31/2015,39.28,55.39,16.11,"Agriculture, Agrarian Reform and Natural Resources",Agusan del Sur,"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Water Security Resilient Economic Growth and Stability (Be SECURE),USAid,Local Government Units,4.051,1.453,7/1/2013,6/30/2017,35.87,24.93,-10.94,"Agriculture, Agrarian Reform and Natural Resources","Regions II, VI, X, IX, ARMM","Technical Assistance, Training and Capacity Building",Ongoing,,6/30/2014,6/30/2014
Building Low Emission Alternatives to Develop Economic Resilience and Sustainability (B-LEADERS),USAid,"Dept of Energy, Energy Regulatory Commission, Climate Change Commission",3.688,0.243,2/1/2014,6/30/2017,6.59,11.97,5.38,"Agriculture, Agrarian Reform and Natural Resources","PFG City Development Initiative (CDI) sites specifically Batangas City, Iloilo City, and Cagayan de Oro City","Technical Assistance, Training and Capacity Building",Ongoing,,6/30/2014,6/30/2014
Education Assistance Program for Mindanao (TUDLO-Mindanao),USAid,Various Agencies (DepEd/ARMM/NGOs),1.796,,9/29/2003,9/30/2010,0,153.52,153.52,Social Reform and Community Development,"ARMM, IX, XII",,,Behind schedule,6/30/2014,6/30/2014
Literacy for Peace and Development,USAid,Department of Education/ARMM/NGOS,1.241,1.231,11/9/2010,6/30/2014,99.19,100,0.81,Social Reform and Community Development,"IX, XII, ARMM",Training,Ongoing,,6/30/2014,6/30/2014
Job Opportunities for Business Scale Up Initiative,USAid,Department of Education,1.084,0.523,9/30/2011,9/20/2015,48.25,69.19,20.95,"Industry, Trade and Tourism","Midsayap, North Cotabato, Maguindanao, Sultan Kudarat, Lanao del Sur and Bukidnon",Training,Ongoing ,,6/30/2014,6/30/2014
Basa Pilipinas,USAid,Department of Education,8.74,3.88,1/13/2013,12/31/2016,44.39,36.81,-7.58,Social Reform and Community Development,nationwide,Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Padayon Project,USAid,Department of Education,0.4,0.057,10/1/2010,9/30/2015,14.25,74.96,60.71,Social Reform and Community Development,"ARMM, IX, XII",Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Tudlo Project,USAid,Department of Education (National/ARMM),0.65,0.588,10/1/2010,9/30/2015,90.46,74.96,-15.5,Governance and Institutions Development,"ARMM, IX, XII",Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Mindanao Youth for Development (MYDev),USAid,Department of Education,4.256,1.089,7/8/2013,7/7/2018,25.59,19.56,-6.03,Social Reform and Community Development,Mindanao-wide; ARMM,Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Education Governance Effectiveness Program,USAid,Department of Finance,1.8,0.69,5/31/2013,5/30/2018,38.33,21.64,-16.69,Social Reform and Community Development,Nationwide,Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Scaling Innovations in Mobile Money (SIMM) Project,USAid,Bangko Sentral ng Pilipinas,2.992,1.901,4/26/2012,4/25/2014,63.54,109.05,45.52,"Industry, Trade and Tourism",Nationwide but with focus on 3 pilot cities TBD,"Technical assistance, training and capacity building, limited equipment and commodities, assessments and other  studies",Ongoing ,,6/30/2014,6/30/2014
Judicial Strengthening to Improve Court Effectiveness (JUSTICE),USAid,"Supreme Court (Lead), Court of Appeals, other courts",6.995,5.253,10/1/2012,9/30/2017,75.1,34.9,-40.19,Governance and Institutions Development,Nationwide,"Technical assistance, training and capacity building, equipment and commodities, assessments and other  studies",Ongoing ,,6/30/2014,6/30/2014
The Arangkada Philippines Project (TAPP),USAid,National Competitiveness Council (NCC) and Phil. Dev. Forum – Growth & Investment Climate Working Group (PDF-GIC WG),1,0.388,9/5/2012,9/4/2016,38.8,45.41,6.61,"Industry, Trade and Tourism",Nationwide,Contribution to AMCHAM activities.  AMCHAM share is $1.5 million,Ongoing ,,6/30/2014,6/30/2014
Investment Enabling Environment (INVEST) Project,USAid,Dept of Trade and Industry and Dept of Interior and Local Government,3.48,2.699,9/29/2011,9/28/2014,77.56,91.78,14.22,"Industry, Trade and Tourism","Manila, Batangas, Iloilo, Cagayan de Oro","Technical assistance, training and capacity building, limited equipment and commodities, assessments and other  studies",Ongoing ,,6/30/2014,6/30/2014
US Federal Trade Commission Technical Assistance Project,USAid,Department of Justice,0.05,,9/28/2012,12/31/2016,0,41.16,41.16,"Industry, Trade and Tourism",Manila,"technical assistance to DOJ, training of DOJ Officials, dispatch of experts",Ongoing ,,6/30/2014,6/30/2014
Technical Assistance for the Integrity for Investments Initiatives (I3),USAid,"Commission on Audit
Civil Service Commission 
Securities and Exchange Commission, Department of Justice, Governance Commission for Government-Owned and -Controlled Corporations",8.9,3.491,2/20/2013,2/19/2017,39.22,33.9,-5.32,"Industry, Trade and Tourism",Nationwide,"Technical assistance, training and capacity building, limited equipment and commodities, assessments and other  studies",Ongoing ,,6/30/2014,6/30/2014
Advancing Philippine Competitiveness (COMPETE),USAid,"Department of Trade and Industry, National Economic and Development Authority, Department of Energy, Energy Regulatory Commission, Department of Tourism, Department of Agriculture, Department of Public Works and Highways, Department of Transportation and Communication, National Competitiveness Council",7.899,2.707,4/3/2013,4/4/2017,34.27,30.98,-3.29,"Industry, Trade and Tourism",Nationwide,"Technical assistance, training and capacity building, limited equipment and commodities, assessments and other studies",Ongoing ,,6/30/2014,6/30/2014
Trade-Related Assistance for Development (TRADE),USAid,"Department of Trade and Industry, National Economic and Development Authority, Department of Finance, Bureau of Customs,  Department of Justice, National Competitiveness Council",3.57,2.119,5/8/2013,5/7/2017,59.36,28.63,-30.73,"Industry, Trade and Tourism",Nationwide,"Technical assistance, training and capacity building, invitational travel, limited equipment and commodities, assessments and other studies",Ongoing ,,6/30/2014,6/30/2014
"Science, Technology, Research and Innovation for Development (STRIDE) Program",USAid,"Department of Science and Technology, Commission on Higher Education",3.599,1.474,7/17/2013,7/16/2018,40.96,19.07,-21.89,"Industry, Trade and Tourism",Nationwide,"Technical assistance, training and capacity building, invitational travel, limited equipment and commodities, assessments and other  studies, cost share in partnerships, faculty exchanges",Ongoing ,,6/30/2014,6/30/2014
Facilitating Public Investment (FPI) Project,USAid,"Department of Finance, Bureau of Internal Revenue, Department of Budget and Management",3.051,1.54,8/19/2013,8/18/2018,50.48,17.26,-33.21,"Industry, Trade and Tourism",National level,"(1) Technical assistance to DOF and DBM
(2) Training and capacity building
(3) Equipment for the BIR ECAR (electronic certificate authorizing registration)",Ongoing,,6/30/2014,6/30/2014
Phil-Am Fund,USAid,,6.227,0.403,8/5/2013,8/4/2018,6.47,18.03,11.56,"Industry, Trade and Tourism",Nationwide,Funding  of activities of NGO and private sector partners  and operations of grant making facility.,Ongoing ,,6/30/2014,6/30/2014
Innovative Development Through Entrepreneurship Acceleration (IDEA) Program,USAid,Dept of Science and Technology,0.5,0.35,9/18/2013,9/17/2016,70,26.03,-43.97,"Industry, Trade and Tourism",NCR,Contribution to Philippine S&T Development Foundation  Activities.  Foundation's  share is $2.4 million,Ongoing,,6/30/2014,6/30/2014
Higher Education and Productivity Project,USAid,Department of Education,1,0.5,12/17/2012,12/16/2016,50,38.36,-11.64,Social Reform and Community Development,"Batangas City, Iloilo City, and
Cagayan de Oro City",Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Development Credit Authority Loan Portfolio Guaranty 1,USAid,,1.242,0.335,12-Sep,9/26/2020,26.97,21.97,-5,Governance and Institutions Development,,Credit Guarantee,Ongoing,,6/30/2014,6/30/2014
Development Credit Authority Loan Portfolio Guaranty 2,USAid,,1.662,0,13-Sep,9/25/2023,0,7.59,7.59,Governance and Institutions Development,,Credit Guarantee,Ongoing,,6/30/2014,6/30/2014
Strengthening the Capacity of Civil Society Organizations in the Phils.,USAid,Civil society organizations,1.497,0.934,9/28/2011,9/27/2014,62.39,91.87,29.48,Governance and Institutions Development,Nationwide,Training and capacity building,Ongoing ,,6/30/2014,6/30/2014
Support for Employment and Livelihood of Persons with Disabilities (SELP Center),USAid,LGUs,0.292,0.108,9/16/2013,9/15/2015,36.99,39.37,2.38,Social Reform and Community Development,"Quezon City, Davao, Cebu",Technical Cooperation,Ongoing,,6/30/2014,6/30/2014
Expanding Participation of People with Disabilities in the Philippines (EXPAND),USAid,LGUs,0.299,0.07,10/1/2013,9/30/2015,23.41,37.31,13.9,Social Reform and Community Development,Nationwide,Technical Cooperation,Ongoing,,6/30/2014,6/30/2014
SUCCESS: Strengthening Urban Communities' Capacity to Endure Severe Shocks,USAid,LGUs/MDRRMCs/BDRRMCs/BDCs/communities/NGOs,3.85,0.2852,6/1/2013,12/31/2015,7.41,41.78,34.37,Social Reform and Community Development,"Nabunturan, Montevista, Compostela Valley, Laak, Pantukan, Compostela, Rizal, Manila","Technical Assistance, Training and Capacity Building",Ongoing,,6/30/2014,6/30/2014
Preventing Trafficking in Persons through Sustainable Livelihood Recovery for Typhoon Affected People,USAid,LGUs,0.4,0.2852,6/1/2013,12/31/2016,71.3,30.1,-41.2,Social Reform and Community Development,"Nabunturan, Montevista, Compostela Valley, Laak, Pantukan, Compostela, Rizal, Manila","Technical Assistance, Training and Capacity Building",Ongoing,,6/30/2014,6/30/2014
Increasing Community Disaster Preparedness in Davao Oriental,USAid,LGUs/MDRRMCs/BDRRMCs/communities/NGOs,0.978,0.34837,6/19/2013,6/18/2015,35.62,51.58,15.95,Social Reform and Community Development,Davao Oriental,"Technical Assistance, Training and Capacity Building",Ongoing,,6/30/2014,6/30/2014
Strengthening humanitarian coordination and advocacy in the Philippines,USAid,,0.25,,1/1/2014,12/31/2014,0,49.45,49.45,Social Reform and Community Development,Nation-wide,Technical Assistance,Ongoing,,6/30/2014,6/30/2014
Incident Command Systems Training,USAid,NDRRMC,0.42,,1/1/2012,9/30/2017,0,43.4,43.4,Social Reform and Community Development,Nation-wide,"Technical Assistance, Training and Capacity Building",Ongoing,,6/30/2014,6/30/2014
Building Resilience through Strengthened Disaster Preparedness and Response & Climate Change Adaption Capacity of the Government of the Philippines,USAid,LGUs/Academe/NGOs/CSOs/DSWD/DILG/OCD/NDRRMC,14.27,5.78,3/6/2012,6/30/2016,40.5,53.65,13.14,"Agriculture, Agrarian Reform and Natural Resources","Laguna, Benguet, Misamis Oriental, Sorsogon, Misamis Occidental, Batangas City, Cagayan, Batangas","Technical Assistance, Training and Capacity Building",Ongoing,,6/30/2014,6/30/2014
Enhancing Emergency Preparedness with Logistics Surge Capacity,USAid,NDRRMC/DSWD,0.5,0.5,1/1/2014,12/31/2014,100,49.45,-50.55,Social Reform and Community Development,Nation-wide,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Emergency Food Assistance to most affected population,USAid,NDRRMC/DSWD,20,,11/20/2013,12/31/2015,0,28.79,28.79,Social Reform and Community Development,"Leyte, Samar, ",Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Early Recovery response in Leyte Province for re-integrating the typhoon affected population in their economic framework and facilitate their participation in the affected value chains,USAid,NDRRMC/DTI,1.865,0.104,1/15/2014,1/31/2015,5.58,43.57,37.98,Social Reform and Community Development,Leyte,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Validating Crowd-sourced Damage Assessments in OpenStreetMap,USAid,NDRRMC,0.043,0.043,11/29/2013,1/28/2014,100,355,255,Social Reform and Community Development,"Panay, Tacloban, Daanbantayan, Medellin",Emergency/Relief,Closed,,6/30/2014,6/30/2014
Super Typhoon Haiyan Emergency Response,USAid,NDRRMC/DSWD,3,2.254,11/11/2013,8/10/2014,75.12,84.93,9.81,Social Reform and Community Development,"Leyte, Samar",Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Typhoon Haiyan Recovery Program,USAid,NDRRMC/DSWD,7.031,1.518,12/16/2013,12/15/2014,21.6,53.85,32.25,Social Reform and Community Development,Tacloban City,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Early recovery intervention for the most vulnerable individuals affected by typhoon Haiyan in the Philippines,USAid,NDRRMC/DTI,2.185,0.609,1/1/2014,12/31/2014,27.87,49.45,21.58,Social Reform and Community Development,Tacloban City,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Support To Vulnerable Groups During Recovery In Tacloban And Surrounding Areas,USAid,NDRRMC/DSWD,0.5,0.433,1/3/2014,6/2/2014,86.62,118.67,32.04,Social Reform and Community Development,Tacloban City,Emergency/Relief,Closed,,6/30/2014,6/30/2014
Haiyan Typhoon Emergency WASH assistance in Leyte Province,USAid,NDRRMC/DSWD,2.688,1.5,11/18/2013,8/16/2014,55.8,82.66,26.85,Social Reform and Community Development,Leyte,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Disaster Relief for Typhoon Yolanda Affected People,USAid,NDRRMC/DSWD,0.1,0.1,11/10/2013,1/13/2014,100,362.5,262.5,Social Reform and Community Development,"Leyte, Eastern Samar",Emergency/Relief,Closed,,6/30/2014,6/30/2014
Emergency Assistance to Typhoon Haiyan-Affected Communities in Eastern Visayas,USAid,NDRRMC/DSWD,3.251,2.809,11/13/2013,9/30/2014,86.41,71.34,-15.07,Social Reform and Community Development,"Leyte, Eastern Samar",Emergency/Relief,Closed,,6/30/2014,6/30/2014
Building Back Better in Tacloban: Post-Haiyan Community Rehabilitation,USAid,NDRRMC/DSWD,3.938,2.034,2/1/2014,3/31/2015,51.65,35.22,-16.42,Social Reform and Community Development,Tacloban City,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Strengthening Capacities of Government & NGOs on Gender Based Violence (GBV),USAid,NDRRMC/DSWD,0.674,,7/18/2014,7/31/2015,0,-4.76,-4.76,Governance and Institutions Development,Typhoon Haiyan-affected areas,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
"Ensuring Access to Water, Sanitation and Hygiene (WASH) for Children and Women Affected by ""Super Typhoon"" Yolanda (Haiyan) in the Philippines",USAid,NDRRMC/DSWD,0.75,0.747,11/12/2013,5/12/2014,99.6,127.07,27.47,Social Reform and Community Development,Typhoon Haiyan-affected areas,Emergency/Relief,Closed,,6/30/2014,6/30/2014
Strengthening humanitarian coordination and advocacy in the Philippines,USAid,NDRRMC,0.25,,1/1/2014,12/31/2014,0,49.45,49.45,Governance and Institutions Development,Typhoon Haiyan-affected areas,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
Logistics and Emergency Telecommunications Augmentation in Response to Typhoon Haiyan in the Philippines,USAid,NDRRMC/DSWD,5,4.07,11/19/2013,5/17/2015,81.4,40.99,-40.41,Governance and Institutions Development,Typhoon Haiyan-affected areas,Emergency/Relief,Ongoing,,6/30/2014,6/30/2014
USAID/OFDA Relief Commodities,USAid,DSWD,3.312,3.312,unknown,unknown,100.01,NA,NA,Social Reform and Community Development,Typhoon Haiyan-affected areas,Emergency/Relief,Closed,,6/30/2014,6/30/2014
Project Barog,USAid,NDRRMC/DSWD,0.35,0.343,11/11/2013,5/10/2014,97.89,128.33,30.45,Social Reform and Community Development,Bohol,Emergency/Relief,Closed,,6/30/2014,6/30/2014
Emergency Assistance to Earthquake Affected Populations in Central Luzon,USAid,NDRRMC/DSWD,0.05,0.05,10/18/2013,1/18/2014,100,277.17,177.17,Social Reform and Community Development,Bohol,Emergency/Relief,Closed,,6/30/2014,6/30/2014
Project to Combat Exploitative Child Labor in Sugarcane Growing Areas of the Philippines,USAid,Department of Labor,15,6.65,10/1/2011,9/30/2015,44.33,68.7,24.37,Social Reform and Community Development,"sugar cane growing areas (11 provinces, monstly in the Visayas regions and on Mindanao)",Assistance for children,Ongoing,,6/30/2014,6/30/2014
U.S. Treasury Technical Assistance,USAid,"DBM, BTr",1.5,1,7/1/2012,6/30/2015,66.67,66.64,-0.03,Governance and Institutions Development,National,Technical assistance,Ongoing,,6/30/2014,6/30/2014
U.S. Treasury Technical Assistance,USAid,BTr,0.5,83.3,4/1/2014,3/31/2015,"16,660.00",24.73,"-16,635.27",Governance and Institutions Development,National,Technical assistance,Ongoing,,6/30/2014,6/30/2014
U.S. Department of Justice Technical Assistance (USDOJTA),USAid,"Department of Foreign Affairs, Ombudsman",0.65,0.488,annual assistance,annual assistance,75,NA,NA,Governance and Institutions Development,National,Technical assistance,Ongoing,,6/30/2014,6/30/2014
Trade Facilitation/Export Control and Related Border Security,USAid,Various Agencies,0.59,0.442,annual assistance,annual assistance,74.92,NA,NA,Governance and Institutions Development,National,Technical assistance ,Ongoing,,6/30/2014,6/30/2014
Improving productivity and incomes of small farmers,USAid,Various Agencies,7,7,1/1/2011,12/31/2014,100,87.4,-12.6,"Agriculture, Agrarian Reform and Natural Resources",Mindanao,Technical assistance ,Ongoing,,6/30/2014,6/30/2014
Coldchain and Post-harvest,USAid,Various Agencies,15,15,1/1/2013,12/31/2016,100,37.33,-62.67,"Agriculture, Agrarian Reform and Natural Resources",CARAGA,Technical assistance ,Ongoing,,6/30/2014,6/30/2014
Strengthening of Value Chains in Mindanao,USAid,Various Agencies,7,7,1/1/2014,12/31/2017,100,12.33,-87.67,Social Reform and Community Development,Western Mindanao and BASULTA,Technical assistance,Ongoing,,6/30/2014,6/30/2014
Gender Resp Eco Actions Transformation(Great) Women Project,CIDA,Philippine Commission of Women (PCW),5.67,,11/15/2006,2/28/2014,,104.58,104.58,"Industry, Trade and Tourism",National,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Agribusiness Development,CIDA,International Finance Corporation,9.4,,3/27/2013,3/31/2017,,31.4,31.4,"Agriculture, Agrarian Reform and Natural Resources",National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
Fostering Inclusive Growth,CIDA,Asian Development Bank,14.57,,8/3/2013,3/31/2017,,24.78,,Governance and Institutions Development,National,Technical Assistance,Ongoing ,On Schedule,6/30/2014,6/30/2014
Local Governance Support Program for Local Economic Development ,CIDA,Canadian Urban Institute and Colleges and Institutes Canada,16.92,,8/29/2006,12/29/2017,,69.13,69.13,"Industry, Trade and Tourism",National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
Knowledge -Based Initiative Phase II,CIDA,Embassy -managed,0.47,,10/8/2005,3/31/2017,,76.03,76.03,Governance and Institutions Development,National,Technical Assistance,Ongoing ,On Schedule,6/30/2014,6/30/2014
Women's Economic Empowerment,CIDA,Philippine Commission of Women (PCW),7.52,,not started yet,unknown,,NA,NA,"Industry, Trade and Tourism",National,Technical Cooperation,Not yet started,Not yet started,6/30/2014,6/30/2014
Philippines Program Support Facility,CIDA,Embassy-managed,0.75,,1/6/2012,1/6/2017,,49.59,49.59,Governance and Institutions Development,National,Technical Assistance,Ongoing ,On Schedule,6/30/2014,6/30/2014
Enabling Local Ownership of Development,CIDA,Inter Pares,0.64,,10/29/2010,2/29/2016,,68.75,68.75,Social Reform and Community Development,National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
Working Together for Poverty Eradication ,CIDA,Development and Peace,2.18,,1/1/2011,12/31/2017,,49.92,49.92,Social Reform and Community Development,National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
Democratic Governance Program (DGP),CIDA,Institute of Public Administration of Canada,0.42,,9/2/2010,2/28/2015,,85.18,,Governance and Institutions Development,National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
International Internship 2013-2014 (IYIP),CIDA,Canadian Urban Institute ,0.12,,3/18/2013,3/31/2014,,124.07,124.07,Governance and Institutions Development,National,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
International Urban Partnerships Program (2010-2013),CIDA,Canadian Urban Institute,0.67,,10/3/2010,9/30/2013,,124.98,,Social Reform and Community Development,National,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Sustainable Livelihoods Through Cooperatives (2011-2016),CIDA,Canadian Cooperative Association,1.5,,4/4/2011,9/30/2015,,72.13,,"Industry, Trade and Tourism",National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
Grandir et s’enrichir : Les pauvres part / Economic Growth Through Access to Financial Services,CIDA,Deloppement International Desjardins,0.75,,1/4/2011,9/30/2015,,73.58,,"Industry, Trade and Tourism",National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
Volunteer Cooperation (2009-2015),CIDA,Canadian Executive Service Organization,1.92,,1/7/2009,7/31/2015,,83.47,,"Industry, Trade and Tourism",National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
"Volunteer Sending Program, 2009-2015 ",CIDA,Cuso International,0.14,,1/4/2009,7/31/2015,,83.49,,Social Reform and Community Development,National,Technical Cooperation,Ongoing ,On Schedule,6/30/2014,6/30/2014
Summative Evaluation of Volunteer Cooperation Program,CIDA,Embassy-managed,0.35,,1/1/2014,12/31/2014,,49.45,,Social Reform and Community Development,National,Others,closed,Completed,6/30/2014,6/30/2014
CRVS Initial Country Assessment,CIDA,World Health Orgn (WHO),0.2,,2/20/2014,12/31/2015,,19.15,19.15,Social Reform and Community Development,National,Technical Cooperation,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Food Assistance,CIDA,WFP - World Food Programme,2.35,,3/14/2014,12/31/2014,,36.99,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Assistance (Leyte) ,CIDA,World Vision Canada,3.38,,11/3/2014,3/31/2015,,-85.14,,Social Reform and Community Development,Region VIII,Emergency/Relief,Ongoing ,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Assistance ,CIDA,IFRC-2014,5.64,,3/27/2014,3/31/2015,,25.75,25.75,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Deployment of Emergency Relief Items,CIDA,Canadian Red Cross,4.7,,5/12/2013,2/28/2014,,141.78,,Social Reform and Community Development,Region VI,Emergency/Relief,Ongoing ,On Schedule,6/30/2014,6/30/2014
Emergency Country-Specific Funding,CIDA,ICRC 2014,0.46,,3/28/2014,12/31/2015,,14.62,14.62,Social Reform and Community Development,National,Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Country Level Programming,CIDA,IOM - International Organization for Migration,0.75,,unknown,unknown,,NA,NA,Social Reform and Community Development,national,Emergency/Relief,Ongoing ,On Schedule,6/30/2014,6/30/2014
Country Level Programming,CIDA,UNHCR 2014-United Nationas High Commissioner Refugees,0.19,,3/31/2014,12/31/2014,,33.09,,Social Reform and Community Development,national,Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Support to Country-Specific Emergency Humanitarian Appeals ,CIDA,UNICEF 2014,0.47,,3/27/2014,12/31/2014,,34.05,,Social Reform and Community Development,national,Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Assistance to Improve Livelihoods ,CIDA,Action Against Hunger (ACF),1.65,,3/27/2014,3/31/2015,,25.75,25.75,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Assistance (Leyte) ,CIDA,Action Against Hunger (ACF),1.88,,3/27/2014,3/31/2015,,25.75,25.75,Social Reform and Community Development,Region VIII,Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Shelter and Assistance to Improve Livelihoods ,CIDA,ADRA - Adventist Development and Relief Agency Canada,2.07,,3/24/2014,3/31/2015,,26.34,26.34,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
"Typhoon Haiyan in the Philippines-Education, Child Protection and Livelihoods",CIDA,Christian Children's Fund of Canada (CCFC),0.89,,3/28/2014,3/31/2015,,25.54,25.54,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Shelter and Hygiene ,CIDA,Development and Peace,1.88,,4/3/2014,3/31/2015,,24.31,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Assistance ,CIDA,ICRC - International Committee of the Red Cross,1.41,,12/3/2014,12/31/2014,,-557.14,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing ,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines-Livelihoods in Agriculture and Livestock,CIDA,Food and Agriculture Program (FAO),5.64,,3/31/2014,12/31/2014,,33.09,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Protection Services for Women and Girls ,CIDA,UNFPA - United Nations Population Fund,0.94,,3/27/2014,12/31/2014,,34.05,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Shelter and Protection Services,CIDA,UNHCR - United Nations High Commissioner for Refugees,1.88,,12/3/2014,12/31/2014,,-557.14,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing ,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Assistance to Improve Livelihoods,CIDA,CARE Canada,1.22,,6/3/2014,12/31/2014,,12.8,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Safe Drinking Water and Hygiene ,CIDA,Plan International Canada,1.41,,6/3/2014,12/31/2014,,12.8,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Livelihoods and Education ,CIDA,Save the Children Canada,1.88,,6/3/2014,12/31/2014,,12.8,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
