region,higher_education_institution,number_of_faculty,number_of_students,faculty_student_ratio
V-B (MIMAROPA),Colegio De San Sebastian-Sablayan,603,28,1 is to 22
V-B (MIMAROPA),Divine Word College of Calapan,3264,151,1 is to 22
V-B (MIMAROPA),Divine Word College of San Jose,1442,54,1 is to 27
V-B (MIMAROPA),Eastern Mindoro College,257,19,1 is to 14
V-B (MIMAROPA),EMA EMITS College Philippines,501,16,1 is to 31
V-B (MIMAROPA),Grace Mission College,68,15,1 is to 5
V-B (MIMAROPA),Holy Trinity University,1153,83,1 is to 14
V-B (MIMAROPA),St. Mary's College of Marinduque,266,19,1 is to 14
V-B (MIMAROPA),Loyola College of Culion,37,14,1 is to 3
V-B (MIMAROPA),Luna Goco Colleges-Calapan,330,32,1 is to 10
V-B (MIMAROPA),Palawan Polytechnic College,842,41,1 is to 21
V-B (MIMAROPA),Saint Augustine Seminary,56,15,1 is to 4
V-B (MIMAROPA),San Francisco Javier College,225,17,1 is to 13
V-B (MIMAROPA),Santa Cruz Institute,619,21,1 is to 29
V-B (MIMAROPA),Seminario De San Jose,33,11,1 is to 3
V-B (MIMAROPA),Educational Systems Technological Institute,668,26,1 is to 26
V-B (MIMAROPA),"CLCC Institute of Computer, Arts and Technology",125,9,1 is to 14
V-B (MIMAROPA),Fullbright College,1107,50,1 is to 22
V-B (MIMAROPA),Marinduque Midwest College,355,39,1 is to 9
V-B (MIMAROPA),Prince of Peace College,54,9,1 is to 6
V-B (MIMAROPA),John Paul College,706,47,1 is to 15
V-B (MIMAROPA),San Lorenzo Ruiz Seminary,24,10,1 is to 2
V-B (MIMAROPA),Clarendon College,322,27,1 is to 12
V-B (MIMAROPA),Mina de Oro Institute of Science and Technology,39,11,1 is to 4
V-B (MIMAROPA),ACMCL College,48,7,1 is to 7
V-B (MIMAROPA),Palawan Technological College,811,19,1 is to 43
V-B (MIMAROPA),IATEC Computer College,132,16,1 is to 8
V-B (MIMAROPA),Innovative College of Science and Technology,2311,47,1 is to 49
V-B (MIMAROPA),St. Anthony College of Calapan City,346,36,1 is to 10
V-B (MIMAROPA),Southwestern Institute of Business and Technology,498,20,1 is to 25
V-B (MIMAROPA),Paradigm College of Science and Technology,181,33,1 is to 5
V-B (MIMAROPA),Erhard Systems Technological Institute,620,28,1 is to 22
V-B (MIMAROPA),Institute of Business Science and Medical Arts,200,17,1 is to 12
V-B (MIMAROPA),Philippine Central Islands College Foundation,136,20,1 is to 7
V-B (MIMAROPA),ACLC College of Calapan,201,19,1 is to 11
V-B (MIMAROPA),Pinamalayan Maritime Foundation and Technological Institute,365,22,1 is to 17
V-B (MIMAROPA),STI College-Puerto Princesa,139,15,1 is to 9
V-B (MIMAROPA),Remnant Christian College-Palawan,ND,8,ND
V-B (MIMAROPA),Luna Goco College-Roxas,4,6,1 is to 1
Total,Total,1894526,86001,1 is to 22
